,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Overall Men,,,,,,,,,,,,,,,,,,
Dale Abrahamson,0,,1:19:40,,23:33,49:06,23:03,,38:54,,,,,25:40,,23:49,23:41,24:29
Ken Alberg,0,,,,23:09,,,,,,,,,,,,,
David Anderson,0,,,1:35:03,20:39,43:14,20:23,43:21,,,,,46:47,,1:11:13,,20:12,
Larry Arata,0,,,,29:50,1:06:00,29:59,,51:56,,,,,,,,31:33,31:14
Gene Bachman,0,,,,,,,51:13,,,,,,,,,, 
Leif Berner,0,,,1:48:59,,,,1:01:33,,,,1:45:06,,,,,,
Jimmy Blount,0,,1:34:23,,27:37,55:58,27:28,58:49,46:09,,,,56:05,,,,,
Forest Braden,20,,,,,,,,,,,,,,20 - 55:31,,,
Dillon Britt,0,,,,,,,40:21,,,,,,,,,,
Jess Brown,0,2:24:07,1:23:34,1:58:47,25:38,54:04,,53:56,50:29,29:40,7:55.7,1:57:03,54:47,29:24,,26:21,,24:48
Bob Brunner,,,,,,,,,,,,,,,,,,
Joe Buck,0,2:29:02,1:32:54,2:09:14,,54:41,25:41,55:16,43:44,33:16,7:30.1,1:43:00,56:03,28:33,,,,
Andrea Buoso,36,8 - 1:43:32,1:08:52,1:31:12,20:14,,,41:12,,,,8 - 1:09:00,,12 - 20:45,1:09:24,,,8 - 20:24
Richard Bush,0,,,,,,,,,41:49,,,,36:22,,,,
Joe Calkins,0,,,1:37:07,19:55,42:08,19:29,,,,,,42:15,,,,18:58,
Kyle Carlson,10,,,,,,,42:36,,,,10 - 1:08:38,,,,,,
Stephen Chantry,0,,,,19:04,41:24,18:46,42:02,34:33,,,,,,,,19:24,
Brian Chiles,0,2:50:12,2:00:46,,38:22,,,,,,,,,,,,,
